No,Language,Country,Team,Feed name,Feed URL
1,EN,England,Liverpool,This Is Anfield,https://www.thisisanfield.com/feed/
2,EN,England,Liverpool,Liverpool Echo,https://www.liverpoolecho.co.uk/all-about/liverpool-fc/rss.xml
3,EN,England,Liverpool,Liverpool FC Official,https://www.liverpoolfc.com/news.rss
4,EN,England,Liverpool,Empire Of The Kop,https://www.empireofthekop.com/feed/
5,EN,England,Liverpool,The Anfield Wrap,https://www.theanfieldwrap.com/feed/
6,EN,England,Liverpool,The Liverpool Offside,https://liverpooloffside.sbnation.com/rss/current.xml
7,EN,England,Liverpool,The Athletic,https://theathletic.co.uk/team/liverpool/?rss
8,EN,England,Liverpool,Anfield Watch,https://www.anfieldwatch.co.uk/feed/
9,IT,Italy,AC Milan,Milan News,https://www.milannews.it/rss
10,IT,Italy,AC Milan,Pianeta Milan,https://www.pianetamilan.it/feed/
11,IT,Italy,AC Milan,Milan News 24,https://www.milannews24.com/feed/
12,IT,Italy,AC Milan,Il Milanista,https://www.ilmilanista.it/feed/
13,IT,Italy,AC Milan,Milan Live,https://www.milanlive.it/feed/
